FIPSCode,deathsTotal,deathsTotalMonthly,deathsDiffAbs,deathsDiffPct
39047,1887,1887,0,0
39049,49806,49806,0,0
39051,2206,2206,0,0
39053,1953,1953,0,0
39055,4237,4237,0,0
39057,7658,7658,0,0
39059,2441,2441,0,0
39061,40485,40485,0,0
39063,3970,3970,0,0
39065,1606,1606,0,0
39067,1023,1016,7,0.03645833333333326
39069,1484,1484,0,0
39071,2537,2537,0,0
39073,1601,1601,0,0
39075,1683,1683,0,0
39077,3072,3072,0,0
39079,2145,2145,0,0
39081,4756,4756,0,0
39083,3144,3144,0,0
39085,12756,12756,0,0
39087,4271,4271,0,0
39089,8454,8454,0,0
39091,2577,2577,0,0
39093,15984,15984,0,0
39095,23130,23130,0,0
39097,2159,2159,0,0
39099,15383,15383,0,0
39101,3920,3920,0,0
39103,7688,7688,0,0
39105,1536,1536,0,0
39107,2047,2047,0,0
39109,5653,5653,0,0
39111,883,867,9,0.05521472392638027
39113,31717,31717,0,0
39115,898,867,9,0.054216867469879526
39117,1665,1665,0,0
