"Notes"	"Residence Census Division"	"Residence Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 8: Mountain"	"CENS-D8"	"Dec., 2020"	"2020/12"	2903	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Jan., 2021 (provisional)"	"2021/01"	3389	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Feb., 2021 (provisional)"	"2021/02"	1525	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Mar., 2021 (provisional)"	"2021/03"	522	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Apr., 2021 (provisional)"	"2021/04"	314	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"May, 2021 (provisional)"	"2021/05"	357	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Jun., 2021 (provisional)"	"2021/06"	241	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Jul., 2021 (provisional)"	"2021/07"	563	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Aug., 2021 (provisional)"	"2021/08"	1209	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Sep., 2021 (provisional)"	"2021/09"	1429	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Oct., 2021 (provisional)"	"2021/10"	1240	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Nov., 2021 (provisional)"	"2021/11"	1552	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Dec., 2021 (provisional)"	"2021/12"	1900	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Jan., 2022 (provisional)"	"2022/01"	2369	Not Applicable	Not Applicable
	"Division 8: Mountain"	"CENS-D8"	"Feb., 2022 (provisional)"	"2022/02"	1347	Not Applicable	Not Applicable
"Total"	"Division 8: Mountain"	"CENS-D8"			28081	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Mar., 2020"	"2020/03"	472	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Apr., 2020"	"2020/04"	2239	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"May, 2020"	"2020/05"	2046	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Jun., 2020"	"2020/06"	1614	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Jul., 2020"	"2020/07"	2812	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Aug., 2020"	"2020/08"	2558	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Sep., 2020"	"2020/09"	1452	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Oct., 2020"	"2020/10"	1138	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Nov., 2020"	"2020/11"	2154	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Dec., 2020"	"2020/12"	10591	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Jan., 2021 (provisional)"	"2021/01"	16023	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Feb., 2021 (provisional)"	"2021/02"	5954	Not Applicable	Not Applicable
	"Division 9: Pacific"	"CENS-D9"	"Mar., 2021 (provisional)"	"2021/03"	1616	Not Applicable	Not Applicable
